Key,C-V1-E,C-V2-E,C-V3-E
1,2666666,150666,540
1,2500000,43636,147500
0,287058,140625,23357
0,300000,1000000,0
0,666,200000,20000
0,1290322,5000000,0
1,666,1200,0
1,293333,332500,332500
0,2222,108125,36842
1,1135000,2580,0
0,1333,14218,0
0,189677.4,93548,0
1,188387.09,233333,0
1,115151,261290.3,0
1,11428571,13333,0
1,6666.6,800000,0
0,166666.66,1500000,1515151
1,125000,3333,0
1,125000,12903225.8,48000
0,1866666,10000,6451.6
0,1866666.6,2666.6,22000
1,1290322.5,2000,0
1,66666.6,42666.6,9270.8
1,2500000,45000,74482.7
1,15333.3,12666.6,91627.9
0,12500000,10000000,1666666.6
0,483870,2413793.1,806451.6
1,8000,833333.3,9375
1,12352,58800,1494000
1,21851,766451,540800
1,5468,12404,5125
1,122000,2400,220000
1,210370.3,374375,137666
1,1800,19393,0
1,1500,0,0
1,666000,232142,403571
1,1333,0,0
0,31044,128571,430588
0,700000,3428,9333
0,2000,1333,227924
1,1333,42962,57297
0,16250,2000,1482666
0,48648,3225,344000
0,52173,6285,162424
0,745454,61052,1666
1,467857,0,0
0,3100,13000,645
0,131250,60000,106666
0,5125000,162857,3030
0,3333,6060,8275
0,560000,6060,74000
1,122500,212121,2666
0,357575.7,10000,6666
1,22666,1333,0
1,625000,22857.1,0
1,20000,9333.3,0
0,20000,11000000,65000
1,40967.7,384.615,0
1,87500,32000,243333
0,1412000,212500,0
1,8750000,24000,1290322
0,11764.7,666666.66,13333
1,350000,0,0
0,40000,33333,600000
0,23333.33,3333,2000
0,125000,95625,100000
0,13333,10000,451612.9
1,1833333.3,400000,2673333.3
0,15333.3,38000,79047.6
1,3988292.6,22222.2,33333.3
1,175000,2100000,1666666.6
